OrthoGroup	Gene
OG0003665	g00002
OG0003666	g00003
OG0000064	g00004
OG0003667	g00005
OG0003668	g00006
OG0003669	g00007
OG0003670	g00008
OG0003671	g00009
OG0003672	g00010
OG0003673	g00011
OG0003674	g00012
OG0003675	g00013
OG0003676	g00014
OG0003677	g00015
OG0003678	g00016
OG0003679	g00017
OG0003680	g00018
OG0003681	g00019
OG0020107	g00020
OG0000770	g00022
OG0000771	g00023
OG0003682	g00024
OG0003683	g00025
OG0003684	g00026
OG0003685	g00027
OG0003686	g00028
OG0003687	g00029
OG0003688	g00030
OG0003689	g00031
OG0003690	g00032
OG0003691	g00033
OG0003692	g00034
OG0003693	g00035
OG0003694	g00036
OG0000078	g00038
OG0002492	g00039
OG0003695	g00040
OG0003696	g00041
OG0003697	g00042
OG0001778	g00044
OG0003698	g00045
OG0003699	g00046
OG0003700	g00047
OG0003701	g00048
OG0003702	g00049
OG0003703	g00050
OG0003704	g00051
OG0000772	g00052
OG0003705	g00053
OG0003706	g00054
OG0003707	g00055
OG0003708	g00057
OG0002493	g00058
OG0000572	g00059
OG0000572	g00060
OG0003709	g00061
OG0003710	g00063
OG0000773	g00064
OG0003711	g00065
OG0020108	g00066
OG0001779	g00068
OG0000774	g00069
OG0000775	g00070
OG0000037	g00071
OG0000037	g00072
OG0000037	g00073
OG0020109	g00074
OG0003712	g00075
OG0003713	g00076
OG0001780	g00077
OG0003714	g00078
OG0001781	g00079
OG0003715	g00080
OG0003716	g00081
OG0003717	g00082
OG0003718	g00083
OG0020110	g00084
OG0003719	g00085
OG0003720	g00086
OG0003721	g00087
OG0003722	g00088
OG0003723	g00089
OG0003724	g00090
OG0003725	g00091
OG0003726	g00092
OG0003727	g00093
OG0003728	g00094
OG0003729	g00095
OG0003730	g00096
OG0003731	g00097
OG0003732	g00098
OG0003733	g00099
OG0003734	g00100
OG0003735	g00101
OG0003736	g00102
OG0003737	g00103
OG0001782	g00104
OG0003738	g00105
OG0020111	g00106
OG0003739	g00107
OG0003740	g00108
OG0003741	g00109
OG0003742	g00110
OG0000024	g00111
OG0000435	g00113
OG0000079	g00114
OG0003743	g00115
OG0002494	g00116
OG0000011	g00117
OG0002495	g00118
OG0002494	g00119
OG0000011	g00120
OG0002495	g00121
OG0003744	g00122
OG0003745	g00123
OG0003746	g00124
OG0020112	g00125
OG0003747	g00126
OG0003748	g00127
OG0000776	g00128
OG0003749	g00129
OG0003750	g00130
OG0000777	g00131
OG0000778	g00132
OG0003751	g00133
OG0020113	g00134
OG0003752	g00135
OG0003753	g00136
OG0003754	g00137
OG0002496	g00139
OG0000573	g00140
OG0002496	g00141
OG0003755	g00142
OG0003756	g00143
OG0003757	g00144
OG0003758	g00145
OG0003759	g00146
OG0003760	g00147
OG0001783	g00148
OG0003761	g00149
OG0003762	g00150
OG0003763	g00151
OG0003764	g00152
OG0000779	g00153
OG0000574	g00154
OG0000052	g00155
OG0003765	g00156
OG0003766	g00158
OG0003767	g00159
OG0003768	g00161
OG0003769	g00162
OG0003770	g00163
OG0000780	g00164
OG0003771	g00165
OG0000049	g00166
OG0000781	g00167
OG0003772	g00168
OG0003773	g00169
OG0003774	g00170
OG0003775	g00171
OG0001784	g00172
OG0003776	g00173
OG0003777	g00174
OG0000782	g00176
OG0003778	g00177
OG0000783	g00178
OG0003779	g00179
OG0003780	g00180
OG0003781	g00181
OG0002497	g00182
OG0003782	g00183
OG0003783	g00185
OG0020114	g00186
OG0003784	g00187
OG0003785	g00188
OG0003786	g00189
OG0000784	g00190
OG0003787	g00191
OG0000785	g00192
OG0003788	g00193
OG0003789	g00194
OG0003790	g00195
OG0003791	g00196
OG0003792	g00197
OG0000007	g00198
OG0000786	g00200
OG0003793	g00201
OG0003794	g00202
OG0003795	g00203
OG0003796	g00204
OG0003797	g00205
OG0003798	g00206
OG0003799	g00207
OG0000298	g00208
OG0003800	g00209
OG0003801	g00210
OG0000787	g00211
OG0003802	g00212
OG0003803	g00213
OG0003804	g00214
OG0003805	g00215
OG0003806	g00216
OG0003807	g00217
OG0020115	g00218
OG0000299	g00219
OG0003808	g00220
OG0003809	g00221
OG0000097	g00222
OG0003810	g00223
OG0000788	g00224
OG0003811	g00225
OG0003812	g00226
OG0003813	g00227
OG0003814	g00228
OG0000069	g00229
OG0003815	g00230
OG0003816	g00231
OG0003817	g00232
OG0003818	g00233
OG0003819	g00234
OG0003820	g00235
OG0000789	g00236
OG0003821	g00237
OG0003822	g00238
OG0003823	g00239
OG0003824	g00240
OG0003825	g00242
OG0003826	g00243
OG0000000	g00244
OG0000001	g00245
OG0000003	g00246
OG0003827	g00247
OG0003828	g00248
OG0003829	g00249
OG0002498	g00251
OG0003830	g00252
OG0000790	g00253
OG0003831	g00254
OG0020116	g00255
OG0003832	g00256
OG0003833	g00257
OG0003834	g00258
OG0003835	g00259
OG0003836	g00260
OG0003837	g00261
OG0000050	g00262
OG0003838	g00263
OG0003839	g00264
OG0003840	g00265
OG0003841	g00266
OG0000791	g00267
OG0000792	g00268
OG0003842	g00269
OG0003843	g00270
OG0002499	g00271
OG0002499	g00272
OG0003844	g00273
OG0003845	g00274
OG0003846	g00275
OG0000575	g00276
OG0020117	g00277
OG0000575	g00278
OG0003847	g00279
OG0003848	g00280
OG0003849	g00281
OG0003850	g00282
OG0003851	g00283
OG0003852	g00284
OG0003853	g00285
OG0003854	g00286
OG0003855	g00287
OG0020118	g00288
OG0001785	g00289
OG0003856	g00290
OG0003857	g00291
OG0000793	g00292
OG0003858	g00293
OG0003859	g00295
OG0003860	g00296
OG0003861	g00297
OG0000794	g00298
OG0003862	g00299
OG0003863	g00300
OG0003864	g00301
OG0003865	g00302
OG0003866	g00303
OG0020119	g00304
OG0003867	g00305
OG0003868	g00306
OG0003869	g00307
OG0000040	g00309
OG0003870	g00310
OG0003871	g00311
OG0003872	g00313
OG0003873	g00314
OG0003874	g00315
OG0003875	g00316
OG0003876	g00317
OG0003877	g00318
OG0003878	g00319
OG0000017	g00322
OG0000795	g00323
OG0003879	g00324
OG0000796	g00325
OG0020120	g00326
OG0003880	g00327
OG0003881	g00328
OG0003882	g00329
OG0003883	g00330
OG0003884	g00331
OG0003885	g00333
OG0003886	g00334
OG0003887	g00335
OG0003888	g00336
OG0003889	g00337
OG0003890	g00338
OG0003891	g00339
OG0003892	g00340
OG0000797	g00341
OG0003893	g00342
OG0000797	g00343
OG0000070	g00344
OG0002500	g00345
OG0003894	g00346
OG0003895	g00347
OG0000798	g00348
OG0000300	g00349
OG0003896	g00350
OG0000799	g00351
OG0003897	g00352
OG0003898	g00353
OG0003899	g00354
OG0003900	g00355
OG0003901	g00356
OG0003902	g00357
OG0002501	g00358
OG0002502	g00359
OG0003903	g00360
OG0003904	g00361
OG0003905	g00362
OG0003906	g00363
OG0003907	g00364
OG0000098	g00365
OG0000800	g00366
OG0003908	g00367
OG0003909	g00368
OG0003910	g00369
OG0000801	g00370
OG0003911	g00371
OG0003912	g00372
OG0003913	g00373
OG0001786	g00374
OG0003914	g00375
OG0003915	g00377
OG0003916	g00378
OG0000301	g00379
OG0003917	g00380
OG0003918	g00381
OG0003919	g00382
OG0000302	g00383
OG0003920	g00384
OG0000802	g00385
OG0003921	g00386
OG0003922	g00387
OG0000300	g00388
OG0020121	g00389
OG0002503	g00393
OG0003923	g00394
OG0002503	g00398
OG0003924	g00399
OG0003925	g00400
OG0003926	g00401
OG0003927	g00402
OG0003928	g00403
OG0020122	g00404
OG0020123	g00405
OG0020124	g00407
OG0003929	g00408
OG0003930	g00409
OG0003931	g00410
OG0000803	g00411
OG0002504	g00412
OG0001787	g00413
OG0020125	g00415
OG0003932	g00416
OG0003933	g00417
OG0000804	g00418
OG0000303	g00419
OG0003934	g00420
OG0003935	g00421
OG0003936	g00422
OG0000805	g00423
OG0003937	g00424
OG0003938	g00425
OG0000040	g00426
OG0000806	g00427
OG0003939	g00428
OG0003940	g00429
OG0001788	g00430
OG0000807	g00431
OG0003941	g00432
OG0003942	g00433
OG0003943	g00434
OG0001789	g00435
OG0003944	g00436
OG0000808	g00438
OG0000143	g00439
OG0000144	g00440
OG0003945	g00441
