OrthoGroup	Gene
OG0000025	AL1006U10010
OG0002961	AL100U10010
OG0021709	AL1025U10010
OG0000017	AL1031U10010
OG0001985	AL1031U10020
OG0002783	AL103U10020
OG0002782	AL103U10030
OG0008502	AL103U10040
OG0002781	AL103U10050
OG0000879	AL103U10060
OG0002618	AL106U10010
OG0002619	AL106U10030
OG0000607	AL1072U10010
OG0002975	AL108U10010
OG0002974	AL108U10020
OG0020772	AL108U10030
OG0020771	AL108U10040
OG0000695	AL109U10010
OG0002743	AL1105U10010
OG0002602	AL110U10020
OG0008178	AL112U10020
OG0002753	AL112U10050
OG0012439	AL113U10020
OG0012440	AL113U10030
OG0001712	AL117U10020
OG0000704	AL117U10040
OG0002589	AL120U10012
OG0005664	AL120U10014
OG0001870	AL120U10020
OG0000446	AL122U10010
OG0000073	AL123U10020
OG0002585	AL125U10020
OG0005625	AL125U10032
OG0002584	AL125U10034
OG0002913	AL126U10010
OG0010258	AL126U10020
OG0002096	AL126U10040
OG0013194	AL128U10020
OG0020560	AL130U10020
OG0002626	AL132U10010
OG0020780	AL132U10020
OG0002982	AL132U10030
OG0015088	AL133U10010
OG0003629	AL133U10030
OG0003208	AL135U10010
OG0003376	AL136U10010
OG0003375	AL136U10020
OG0019985	AL136U10030
OG0020294	AL138U10010
OG0002907	AL139U10020
OG0002095	AL139U10030
OG0000859	AL142U10020
OG0002527	AL142U10030
OG0003103	AL143U10010
OG0000233	AL144U10010
OG0000233	AL144U10020
OG0002731	AL146U10010
OG0001244	AL146U10030
OG0000338	AL158U10020
OG0002711	AL159U10020
OG0020445	AL159U10030
OG0002797	AL161U10020
OG0003131	AL161U10040
OG0003432	AL163U10020
OG0017781	AL163U10030
OG0000134	AL164U10010
OG0000471	AL165U10010
OG0003310	AL166U10010
OG0003309	AL166U10020
OG0003406	AL167U10010
OG0003442	AL172U10020
OG0001894	AL173U10010
OG0001018	AL173U10020
OG0000392	AL176U10010
OG0019858	AL177U10020
OG0001712	AL178U10030
OG0002725	AL180U10010
OG0002858	AL181U10030
OG0002859	AL181U10040
OG0020000	AL185U10010
OG0002416	AL185U10020
OG0019999	AL185U10040
OG0000022	AL189U10030
OG0003335	AL191U10020
OG0003334	AL191U10030
OG0019991	AL199U10010
OG0004744	AL1G10010
OG0004745	AL1G10020
OG0002558	AL1G10030
OG0004746	AL1G10040
OG0004747	AL1G10050
OG0004748	AL1G10060
OG0004749	AL1G10070
OG0004750	AL1G10080
OG0004751	AL1G10090
OG0000316	AL1G10104
OG0004752	AL1G10110
OG0019833	AL1G10120
OG0019834	AL1G10130
OG0019835	AL1G10140
OG0021921	AL1G10160
OG0004754	AL1G10180
OG0022419	AL1G10190
OG0004753	AL1G10200
OG0004756	AL1G10220
OG0004757	AL1G10230
OG0022436	AL1G10240
OG0004758	AL1G10250
OG0004759	AL1G10260
OG0000213	AL1G10300
OG0004760	AL1G10310
OG0000317	AL1G10320
OG0004761	AL1G10330
OG0004762	AL1G10340
OG0004763	AL1G10350
OG0004764	AL1G10360
OG0004765	AL1G10370
OG0004766	AL1G10380
OG0004767	AL1G10390
OG0004768	AL1G10410
OG0004769	AL1G10420
OG0004770	AL1G10430
OG0004771	AL1G10450
OG0004772	AL1G10470
OG0004773	AL1G10480
OG0002545	AL1G10490
OG0000195	AL1G10510
OG0002546	AL1G10520
OG0002547	AL1G10540
OG0004774	AL1G10550
OG0004775	AL1G10560
OG0004776	AL1G10570
OG0004777	AL1G10580
OG0000032	AL1G10590
OG0004778	AL1G10600
OG0004779	AL1G10610
OG0004780	AL1G10630
OG0004781	AL1G10650
OG0000213	AL1G10660
OG0001821	AL1G10670
OG0001821	AL1G10680
OG0004782	AL1G10690
OG0004783	AL1G10700
OG0004784	AL1G10710
OG0004785	AL1G10720
OG0002548	AL1G10740
OG0004786	AL1G10750
OG0000083	AL1G10760
OG0000885	AL1G10770
OG0000886	AL1G10780
OG0004787	AL1G10800
OG0002549	AL1G10810
OG0020186	AL1G10820
OG0004788	AL1G10830
OG0000887	AL1G10840
OG0004789	AL1G10850
OG0000888	AL1G10860
OG0002550	AL1G10880
OG0004790	AL1G10890
OG0004791	AL1G10900
OG0004792	AL1G10910
OG0004793	AL1G10920
OG0004794	AL1G10930
OG0020188	AL1G10950
OG0004795	AL1G10960
OG0004796	AL1G10980
OG0004797	AL1G10990
OG0004798	AL1G11010
OG0004799	AL1G11020
OG0001822	AL1G11030
OG0004801	AL1G11040
OG0004800	AL1G11050
OG0001822	AL1G11060
OG0004802	AL1G11070
OG0001823	AL1G11082
OG0000889	AL1G11084
OG0004803	AL1G11090
OG0002551	AL1G11100
OG0004804	AL1G11110
OG0004805	AL1G11130
OG0004806	AL1G11140
OG0004807	AL1G11150
OG0004808	AL1G11160
OG0004809	AL1G11170
OG0004810	AL1G11180
OG0004811	AL1G11200
OG0004812	AL1G11210
OG0004813	AL1G11220
OG0000890	AL1G11230
OG0003012	AL1G11240
OG0000891	AL1G11250
OG0004814	AL1G11260
OG0002552	AL1G11270
OG0004815	AL1G11280
OG0004816	AL1G11290
OG0004817	AL1G11320
OG0000892	AL1G11330
OG0004818	AL1G11340
OG0004819	AL1G11350
OG0004820	AL1G11370
OG0002005	AL1G11390
OG0004821	AL1G11400
OG0004822	AL1G11410
OG0000147	AL1G11420
OG0004823	AL1G11430
OG0004824	AL1G11440
OG0000611	AL1G11450
OG0004825	AL1G11460
OG0000449	AL1G11470
OG0004826	AL1G11480
OG0004827	AL1G11500
OG0004828	AL1G11510
OG0004829	AL1G11530
OG0004830	AL1G11540
OG0004831	AL1G11550
OG0001824	AL1G11560
OG0004832	AL1G11570
OG0020189	AL1G11580
OG0004833	AL1G11590
OG0004834	AL1G11600
OG0000318	AL1G11610
OG0004835	AL1G11620
OG0000319	AL1G11630
OG0000319	AL1G11640
OG0004836	AL1G11650
OG0004837	AL1G11660
OG0001825	AL1G11670
OG0001825	AL1G11680
OG0020190	AL1G11700
OG0004838	AL1G11720
OG0004839	AL1G11730
OG0004840	AL1G11740
OG0004841	AL1G11750
OG0004842	AL1G11760
OG0004843	AL1G11770
OG0004844	AL1G11782
OG0003509	AL1G11784
OG0004845	AL1G11790
OG0004846	AL1G11800
OG0004847	AL1G11810
