OrthoGroup	Gene
OG0004829	AT1G01010
OG0004828	AT1G01020
OG0004827	AT1G01030
OG0004826	AT1G01040
OG0000449	AT1G01050
OG0004825	AT1G01060
OG0000611	AT1G01070
OG0004824	AT1G01080
OG0004823	AT1G01090
OG0000147	AT1G01100
OG0004822	AT1G01110
OG0004821	AT1G01120
OG0004820	AT1G01140
OG0004819	AT1G01150
OG0004818	AT1G01160
OG0000892	AT1G01170
OG0004817	AT1G01180
OG0004816	AT1G01190
OG0004815	AT1G01200
OG0002552	AT1G01210
OG0004814	AT1G01220
OG0000891	AT1G01225
OG0000890	AT1G01230
OG0004813	AT1G01240
OG0004812	AT1G01250
OG0004811	AT1G01260
OG0004810	AT1G01280
OG0004809	AT1G01290
OG0004808	AT1G01300
OG0004807	AT1G01305
OG0004806	AT1G01310
OG0004805	AT1G01320
OG0004804	AT1G01340
OG0002551	AT1G01350
OG0004803	AT1G01355
OG0000889	AT1G01360
OG0001823	AT1G01370
OG0004802	AT1G01380
OG0001822	AT1G01390
OG0004800	AT1G01400
OG0004801	AT1G01410
OG0001822	AT1G01420
OG0004799	AT1G01430
OG0004798	AT1G01440
OG0004797	AT1G01450
OG0004796	AT1G01453
OG0004795	AT1G01460
OG0020187	AT1G01470
OG0004794	AT1G01480
OG0004793	AT1G01490
OG0004792	AT1G01500
OG0004791	AT1G01510
OG0004790	AT1G01520
OG0002550	AT1G01530
OG0000888	AT1G01540
OG0004789	AT1G01550
OG0000887	AT1G01560
OG0004788	AT1G01570
OG0002549	AT1G01580
OG0004787	AT1G01590
OG0000886	AT1G01600
OG0000885	AT1G01610
OG0000083	AT1G01620
OG0004786	AT1G01630
OG0002548	AT1G01640
OG0004785	AT1G01650
OG0004784	AT1G01660
OG0004783	AT1G01670
OG0004782	AT1G01680
OG0001821	AT1G01690
OG0001821	AT1G01695
OG0003229	AT1G01700
OG0004781	AT1G01710
OG0004780	AT1G01720
OG0020183	AT1G01725
OG0004779	AT1G01730
OG0004778	AT1G01740
OG0000032	AT1G01750
OG0004777	AT1G01760
OG0004776	AT1G01770
OG0004775	AT1G01780
OG0004774	AT1G01790
OG0002547	AT1G01800
OG0002546	AT1G01810
OG0000195	AT1G01820
OG0002545	AT1G01830
OG0004773	AT1G01840
OG0004772	AT1G01860
OG0004771	AT1G01880
OG0004770	AT1G01900
OG0004769	AT1G01910
OG0004768	AT1G01920
OG0004767	AT1G01930
OG0004766	AT1G01940
OG0004765	AT1G01950
OG0004764	AT1G01960
OG0004763	AT1G01970
OG0004762	AT1G01980
OG0004761	AT1G01990
OG0000317	AT1G02000
OG0004760	AT1G02010
OG0004759	AT1G02020
OG0020182	AT1G02030
OG0004758	AT1G02040
OG0022436	AT1G02050
OG0004757	AT1G02060
OG0004756	AT1G02065
OG0004754	AT1G02070
OG0022419	AT1G02074
OG0004753	AT1G02080
OG0019835	AT1G02090
OG0019834	AT1G02100
OG0019833	AT1G02110
OG0004752	AT1G02120
OG0000316	AT1G02130
OG0004751	AT1G02140
OG0004750	AT1G02145
OG0004749	AT1G02150
OG0004748	AT1G02160
OG0004747	AT1G02170
OG0004746	AT1G02180
OG0004745	AT1G02190
OG0004744	AT1G02205
OG0004831	AT1G02210
OG0001824	AT1G02220
OG0004832	AT1G02230
OG0001824	AT1G02250
OG0004833	AT1G02260
