Gene_Family	Sub_Family	Genomic_Locus_Tag
IQD Protein Family	NULL	At3g09710
IQD Protein Family	NULL	At5g03040
IQD Protein Family	NULL	At3g52290
IQD Protein Family	NULL	At2g26410
IQD Protein Family	NULL	At3g22190
IQD Protein Family	NULL	At2g26180
IQD Protein Family	NULL	At1g17480 
IQD Protein Family	NULL	At1g72670
IQD Protein Family	NULL	At2g33990
IQD Protein Family	NULL	At3g15050
IQD Protein Family	NULL	At5g13460
IQD Protein Family	NULL	At5g03960
IQD Protein Family	NULL	At3g59690
IQD Protein Family	NULL	At2g43680
IQD Protein Family	NULL	At3g49380
IQD Protein Family	NULL	At4g10640
IQD Protein Family	NULL	At4g00820
IQD Protein Family	NULL	At1g01110
IQD Protein Family	NULL	At4g14750
IQD Protein Family	NULL	At3g51380 
IQD Protein Family	NULL	At3g49260
IQD Protein Family	NULL	At4g23060
IQD Protein Family	NULL	At5g62070
IQD Protein Family	NULL	At5g07240
IQD Protein Family	NULL	At4g29150
IQD Protein Family	NULL	At3g16490
IQD Protein Family	NULL	At1g51960
IQD Protein Family	NULL	At1g14380
IQD Protein Family	NULL	At2g02790
IQD Protein Family	NULL	At1g18840
IQD Protein Family	NULL	At1g74690
IQD Protein Family	NULL	At1g19870
IQD Protein Family	NULL	At5g35670
PHD Gene Family	VEL	AT4g30200
PHD Gene Family	VEL	AT2g18880
PHD Gene Family	VEL	AT3g24440
PHD Gene Family	VEL	AT5g57380
PHD Gene Family	VEL	AT2g18870
14-3-3 proteins	NULL	AT1G78220
14-3-3 proteins	NULL	AT4G09000
14-3-3 proteins	NULL	AT1G22300
14-3-3 proteins	NULL	AT1G26480
14-3-3 proteins	NULL	AT5G65430
14-3-3 proteins	NULL	AT5G10450
14-3-3 proteins	NULL	AT2G42590
14-3-3 proteins	NULL	AT3G02520
14-3-3 proteins	NULL	AT1G78300
14-3-3 proteins	NULL	AT1G34760
14-3-3 proteins	NULL	AT1G35160
14-3-3 proteins	NULL	AT5G38480
14-3-3 proteins	NULL	AT5G16050
14-3-3s	NULL	At1g35160
14-3-3s	NULL	At1g78300
14-3-3s	NULL	At3g02520
14-3-3s	NULL	At4g09000
14-3-3s	NULL	At5g16040
14-3-3s	NULL	At5g16050
14-3-3s	NULL	At5g38480
14-3-3s	NULL	At5g65430
60S ribosomal L19 proteins	NULL	At1g02780
60S ribosomal L19 proteins	NULL	At3g16780
60S ribosomal L19 proteins	NULL	At4g02230
AAAP family	NULL	AT1G77380
AAAP family	NULL	AT5G40780
AAAP family	NULL	AT4G35180
AAAP family	NULL	AT5G49630
AAAP family	NULL	AT1G58360
AAAP family	NULL	AT1G44100
AAAP family	NULL	AT5G41800
AAAP family	NULL	AT5G09220
AAAP family	NULL	AT5G23810
AAAP family	NULL	AT5G63850
AAAP family	NULL	AT5G65990
AAAP family	NULL	AT2G21050
AAAP family	NULL	AT1G08230
AAAP family	NULL	AT1G25530
AAAP family	NULL	AT1G47670
AAAP family	NULL	AT1G80510
AAAP family	NULL	AT1G48640
AAAP family	NULL	AT1G61270
AAAP family	NULL	AT5G14940
AAAP family	NULL	AT2G39890
AAAP family	NULL	AT1G10010
AAAP family	NULL	AT1G67640
AAAP family	NULL	AT3G01760
AAAP family	NULL	AT3G09330
AAAP family	NULL	AT3G09340
AAAP family	NULL	AT3G11900
AAAP family	NULL	AT3G28960
AAAP family	NULL	AT3G30390
AAAP family	NULL	AT3G54830
AAAP family	NULL	AT3G56200
AAAP family	NULL	AT1G77690
AAAP family	NULL	AT1G24400
AAAP family	NULL	AT2G36590
AAAP family	NULL	AT4G38250
AAAP family	NULL	AT5G02170
AAAP family	NULL	AT5G02180
AAAP family	NULL	AT5G15240
AAAP family	NULL	AT5G16740
AAAP family	NULL	AT5G38820
AAAP family	NULL	AT1G71680
AAAP family	NULL	AT2G38120
AAAP family	NULL	AT2G39130
AAAP family	NULL	AT2G41190
ABC Superfamily	AOH subfamily	AT2G41700
ABC Superfamily	ATH subfamily	AT5G61700
ABC Superfamily	ATH subfamily	AT5G61740
ABC Superfamily	ATH subfamily	AT5G61690
ABC Superfamily	ATH subfamily	AT5G61730
ABC Superfamily	ATH subfamily	AT5G03910
ABC Superfamily	ATH subfamily	AT5G64940
ABC Superfamily	ATH subfamily	AT3G47730
ABC Superfamily	ATH subfamily	AT3G47740
ABC Superfamily	ATH subfamily	AT3G47750
ABC Superfamily	ATH subfamily	AT3G47770
ABC Superfamily	ATH subfamily	AT3G47780
ABC Superfamily	ATH subfamily	AT3G47790
ABC Superfamily	ATH subfamily	AT3G47760
ABC Superfamily	ATH subfamily	AT4G01660
ABC Superfamily	ATH subfamily	AT2G39190
ABC Superfamily	ATH subfamily	AT2G40090
ABC Superfamily	ATM subfamily	AT4G28620
ABC Superfamily	ATM subfamily	AT4G28630
ABC Superfamily	ATM subfamily	AT5G58270
ABC Superfamily	GCN subfamily	AT5G60790
ABC Superfamily	GCN subfamily	AT5G64840
ABC Superfamily	GCN subfamily	AT1G64550
ABC Superfamily	GCN subfamily	AT5G09930
ABC Superfamily	GCN subfamily	AT3G54540
ABC Superfamily	MDR subfamily	AT1G02530
ABC Superfamily	MDR subfamily	AT5G46540
ABC Superfamily	MDR subfamily	AT4G18050
ABC Superfamily	MDR subfamily	AT3G28345
ABC Superfamily	MDR subfamily	AT3G28344
ABC Superfamily	MDR subfamily	AT3G55320
ABC Superfamily	MDR subfamily	AT1G02520
ABC Superfamily	MDR subfamily	AT1G10680
ABC Superfamily	MDR subfamily	AT1G27940
ABC Superfamily	MDR subfamily	AT1G28010
ABC Superfamily	MDR subfamily	AT3G28360
ABC Superfamily	MDR subfamily	AT3G28380
ABC Superfamily	MDR subfamily	AT3G28390
ABC Superfamily	MDR subfamily	AT3G28860
ABC Superfamily	MDR subfamily	AT4G25960
ABC Superfamily	MDR subfamily	AT3G62150
ABC Superfamily	MDR subfamily	AT4G01820
ABC Superfamily	MDR subfamily	AT2G36910
ABC Superfamily	MDR subfamily	AT2G39480
ABC Superfamily	MDR subfamily	AT2G47000
ABC Superfamily	MDR subfamily	AT4G01830
ABC Superfamily	MRP subfamily	AT2G34660
ABC Superfamily	MRP subfamily	AT1G30410
ABC Superfamily	MRP subfamily	AT1G30420
ABC Superfamily	MRP subfamily	AT3G13080
ABC Superfamily	MRP subfamily	AT3G13090
ABC Superfamily	MRP subfamily	AT3G13100
ABC Superfamily	MRP subfamily	AT3G59140
ABC Superfamily	MRP subfamily	AT3G60970
ABC Superfamily	MRP subfamily	AT3G62700
ABC Superfamily	MRP subfamily	AT1G30400
ABC Superfamily	MRP subfamily	AT2G47800
ABC Superfamily	MRP subfamily	AT3G60160
ABC Superfamily	MRP subfamily	AT1G04120
ABC Superfamily	MRP subfamily	AT2G07680
ABC Superfamily	MRP subfamily	AT3G21250
ABC Superfamily	NAP subfamily	AT5G02270
ABC Superfamily	NAP subfamily	AT5G14100
ABC Superfamily	NAP subfamily	AT1G32500
ABC Superfamily	NAP subfamily	AT1G63270
ABC Superfamily	NAP subfamily	AT1G65410
ABC Superfamily	NAP subfamily	AT5G44110
ABC Superfamily	NAP subfamily	AT1G67940
ABC Superfamily	NAP subfamily	AT1G71330
ABC Superfamily	NAP subfamily	AT4G04770
ABC Superfamily	NAP subfamily	AT2G37010
ABC Superfamily	NAP subfamily	AT3G10670
ABC Superfamily	NAP subfamily	AT4G25450
ABC Superfamily	NAP subfamily	AT4G33460
ABC Superfamily	NAP subfamily	AT4G30300
ABC Superfamily	NAP subfamily	AT1G03900
ABC Superfamily	PDR subfamily	AT3G53480
ABC Superfamily	PDR subfamily	AT1G15520
ABC Superfamily	PDR subfamily	AT1G59870
ABC Superfamily	PDR subfamily	AT1G66950
ABC Superfamily	PDR subfamily	AT1G61020
ABC Superfamily	PDR subfamily	AT4G15220
ABC Superfamily	PDR subfamily	AT4G15230
ABC Superfamily	PDR subfamily	AT1G15210
ABC Superfamily	PDR subfamily	AT3G16340
ABC Superfamily	PDR subfamily	AT2G26910
ABC Superfamily	PDR subfamily	AT2G29940
ABC Superfamily	PDR subfamily	AT2G37280
ABC Superfamily	PDR subfamily	AT2G36380
ABC Superfamily	PMP subfamily	AT1G54350
ABC Superfamily	PMP subfamily	AT4G39850
ABC Superfamily	RLI subfamily	AT3G13640
ABC Superfamily	RLI subfamily	AT4G19210
ABC Superfamily	SMC subfamily	AT5G62410
ABC Superfamily	SMC subfamily	AT3G47460
ABC Superfamily	SMC subfamily	AT5G48600
ABC Superfamily	SMC subfamily	AT3G54670
ABC Superfamily	TAP subfamily	AT5G39040
ABC Superfamily	TAP subfamily	AT1G70610
ABC Superfamily	WBC subfamily	AT3G13220
ABC Superfamily	WBC subfamily	AT3G55090
ABC Superfamily	WBC subfamily	AT3G55100
ABC Superfamily	WBC subfamily	AT3G55110
ABC Superfamily	WBC subfamily	AT3G55130
ABC Superfamily	WBC subfamily	AT3G53510
ABC Superfamily	WBC subfamily	AT1G17840
ABC Superfamily	WBC subfamily	AT1G31770
ABC Superfamily	WBC subfamily	AT3G21090
ABC Superfamily	WBC subfamily	AT3G21090
ABC Superfamily	WBC subfamily	AT3G52310
ABC Superfamily	WBC subfamily	AT5G06530
ABC Superfamily	WBC subfamily	AT5G13580
ABC Superfamily	WBC subfamily	AT5G52860
ABC Superfamily	WBC subfamily	AT1G51460
ABC Superfamily	WBC subfamily	AT1G51500
